rank,category,racename,race_id,rider_name,rider_id,points,jpp,date
5,CC2,Pan-American Championships (Panama) R.R.,41301,GUAMA DE LA CRUZ Bayron Patricio,5717,0.0,0,2023-04-23
6,CC2,Pan-American Championships (Panama) R.R.,41301,SESSLER Nicolas Mariotto,26198,0.0,0,2023-04-23
7,CC2,Pan-American Championships (Panama) R.R.,41301,BONILLA QUIROS Daniel Andres,23672,0.0,0,2023-04-23
8,CC2,Pan-American Championships (Panama) R.R.,41301,MONTERROSO MONTERROSO Dorian Javier,20143,0.0,0,2023-04-23
9,CC2,Pan-American Championships (Panama) R.R.,41301,ROSA Cristian Egidio,10614,0.0,0,2023-04-23
10,CC2,Pan-American Championships (Panama) R.R.,41301,PADILLA MIRANDA Julio Estuardo,19938,0.0,0,2023-04-23
1,2.PS,"Tour of the Alps, General classification",41239,GEOGHEGAN HART Tao,22018,0.0,0,2023-04-21
2,2.PS,"Tour of the Alps, General classification",41239,CARTHY Hugh,21014,0.0,0,2023-04-21
3,2.PS,"Tour of the Alps, General classification",41239,HAIG Jack,21212,0.0,0,2023-04-21
4,2.PS,"Tour of the Alps, General classification",41239,CEPEDA ORTIZ Jefferson Alexander,26775,0.0,0,2023-04-21
5,2.PS,"Tour of the Alps, General classification",41239,FORTUNATO Lorenzo,25552,0.0,0,2023-04-21
6,2.PS,"Tour of the Alps, General classification",41239,KÄMNA Lennard,23427,0.0,0,2023-04-21
7,2.PS,"Tour of the Alps, General classification",41239,SIVAKOV Pavel,24934,0.0,0,2023-04-21
8,2.PS,"Tour of the Alps, General classification",41239,BUITRAGO SANCHEZ Santiago,29699,0.0,0,2023-04-21
9,2.PS,"Tour of the Alps, General classification",41239,GALL Felix,26383,0.0,0,2023-04-21
10,2.PS,"Tour of the Alps, General classification",41239,TRAEEN Torstein,24068,0.0,0,2023-04-21
1,2.PSs,"Tour of the Alps, Stage 5 : Cavalese - Brunico",41238,CARR Simon,30010,0.0,0,2023-04-21
1,2.PSs,"Tour of the Alps, Stage 4 : Rovereto - Predazzo",41237,MÜHLBERGER Gregor,21128,0.0,0,2023-04-20
1,1.WT2,Flèche Wallonne,41181,POGACAR Tadej,26526,0.0,0,2023-04-19
2,1.WT2,Flèche Wallonne,41181,SKJELMOSE JENSEN Mattias,30166,0.0,0,2023-04-19
3,1.WT2,Flèche Wallonne,41181,LANDA MEANA Mikel,14319,0.0,0,2023-04-19
